ImRead_Time,Start_Time,PreparingTime,EndTime
1013283.0025320000,1013354.0663440000,1013454.7114190001,1013462.9157270000
1013463.8870399999,1013479.2111450000,1013559.8572780000,1013567.4253680001
1013567.2302380000,1013583.4274000000,1013670.4110390000,1013678.4916299999
1013678.2080450000,1013692.3474360000,1013776.1026530000,1013785.2726670000
1013785.5911680000,1013799.7598770000,1013882.5153450000,1013890.5523080000
1013890.4675220000,1013904.6732880000,1013990.0708370000,1014837.6545500000
1013998.3455290000,1014012.5050980001,1014099.6389580000,1014949.9479540000
1014108.7377870000,1014123.5517850000,1014255.0698850000,1015187.5033030000
1014263.8987960001,1014278.1105420000,1014399.7656420000,1015384.0750220000
1014407.6360950000,1014443.1095750000,1014585.2317760000,1015678.4665550000
1014596.6114260000,1014645.4187700000,1014802.5734089999,1016090.7991250000
1014848.5538570000,1014950.6001680000,1015189.1729550000,1016516.4257920000
1015226.1763479999,1015255.7315030000,1015403.1914430000,1017031.9516499999
1015441.4345930000,1015483.8927090000,1015764.3633820000,1017349.6673010000
1015802.2399310000,1015855.5710000000,1016106.5072140000,1017507.5143120000
1016124.1289640000,1016159.8918300000,1016369.2456910000,1017490.3371440000
1016409.8898950000,1016448.2472559999,1016619.0760300000,1017897.9937560000
1016674.8179610000,1016721.9373089999,1016909.7828280000,1018471.3115660000
1016920.9553700000,1016946.0595510000,1017167.8649629999,1018658.0341260000
1017206.6837240000,1017282.6211960000,1017568.6694960000,1018680.7796590000
1017588.0232060000,1017646.2192060000,1017921.2369340000,1019176.2316780000
1017931.6105710000,1017957.5728220000,1018250.7113840000,1019646.0602510000
1018262.5455379999,1018289.4522240000,1018534.1517000000,1020117.8016520001
1018543.7121550000,1018579.5044040000,1018803.1832320000,1020115.3287500000
1018822.1234880000,1018842.2585200000,1019021.9923290000,1021006.7501790000
1019031.6262330000,1019068.9295550000,1019294.6810559999,1021019.3707240000
1019327.4713870001,1019378.9387600000,1019661.7869310000,1021095.8359840000
1019687.3022960000,1019737.1092210000,1019959.8182530000,1021453.1076240001
1019970.7842870000,1020002.2914040000,1020214.5639030000,1021417.3172990000
1020231.2468840000,1020289.2340370000,1020602.7042649999,1022061.7614970000
1020642.6988600000,1020754.2882200000,1020999.5202130000,1022349.5413570000
1021032.2509790000,1021090.3685820000,1021341.8537430000,1022363.8255030001
1021349.5716110000,1021364.0644470000,1021538.9787390000,1023002.0208300001
1021547.3291810000,1021579.7916890000,1021782.3989950001,1023071.8280540000
1021795.3449650001,1021829.0579080000,1022090.0650640000,1023173.4063150000
1022120.9171150000,1022185.3087090000,1022397.0978000000,1023684.2446500000
1022405.7078890000,1022419.7473710000,1022601.2676740000,1023918.2474670000
1022610.0805370000,1022629.2233480000,1022854.0256280000,1023950.1297550000
1022862.3952790000,1022935.3361030000,1023203.3723470001,1024202.7493180000
1023220.4333120000,1023259.2398660000,1023393.1474030000,1024641.1861080000
1023411.7953860000,1023455.2368420000,1023706.7586210000,1024787.9608360000
1023732.1476830000,1023753.3873700000,1023947.4724680000,1025238.2020750000
1023959.4793160000,1023984.5020730000,1024209.8842520000,1025570.8664290000
1024227.8096790001,1024254.6959450000,1024422.8898350000,1025598.9977440001
1024431.3096990000,1024451.1336900000,1024729.4748230000,1026037.4696790000
1024759.9886700000,1024793.3135370000,1024981.5279040000,1026231.9144650000
1024990.2072060000,1025031.6925680001,1025238.0850140000,1026299.0929629999
1025256.5377320000,1025328.1538140000,1025585.4495330000,1026509.4512960000
1025637.0259290000,1025668.7548050000,1025826.4158230000,1026653.7272850000
1025845.3824850000,1025882.3071630000,1026113.5265660000,1026803.8083160000
